transaction_id,user_id,merchant_name,transaction_date,amount,currency,status,payment_method,region,risk_score,amount_usd,merchant_id,category,contract_value,high_value_flag,high_risk_flag
TXN00001,U0131,Amazon Payments,2024-06-12,1507.8,INR,failed,credit_card,APAC,48.0,18.09,M002,E-commerce,800000,0,0
TXN00002,U0137,Razorpay,2024-01-29,9130.36,CAD,captured,bnpl,APAC,15.0,6756.47,M005,Payments,350000,1,0
TXN00003,U0126,Stripe Ltd,2024-01-07,4050.24,JPY,refunded,upi,APAC,17.0,27.14,M003,Payments,600000,0,0
TXN00004,U0182,Stripe Ltd,2024-03-11,2838.83,EUR,chargeback,upi,,57.0,3065.94,M003,Payments,600000,0,1
TXN00005,U0145,Stripe Ltd,2024-03-03,608.87,INR,captured,upi,APAC,41.0,7.31,M003,Payments,600000,0,0
TXN00006,U0077,PayU India,2024-02-27,608.79,CAD,captured,bank_transfer,APAC,82.0,450.5,M004,Payments,300000,0,1
TXN00007,U0122,Adyen NV,2024-02-05,279.52,EUR,refunded,credit_card,APAC,33.0,301.88,M007,Payments,550000,0,0
TXN00008,U0005,Shopify Inc,2024-01-27,6133.69,USD,failed,bank_transfer,US,20.0,6133.69,M001,E-commerce,500000,0,0
TXN00009,U0095,Razorpay,2024-06-22,2857.25,AUD,chargeback,debit_card,US,58.0,1857.21,M005,Payments,350000,0,1
TXN00010,U0085,PayU India,2024-05-19,3793.75,AUD,captured,debit_card,US,40.0,2465.94,M004,Payments,300000,0,0
TXN00011,U0173,Shopify Inc,2024-01-23,162.4,GBP,chargeback,upi,US,84.0,206.25,M001,E-commerce,500000,0,1
TXN00012,U0029,Square Inc,2024-05-31,10610.67,JPY,refunded,upi,US,69.0,71.09,M006,POS,400000,0,0
TXN00013,U0107,Klarna AB,2024-04-18,5459.29,JPY,captured,upi,US,68.0,36.58,M008,BNPL,450000,0,0
TXN00014,U0150,Stripe Ltd,2024-01-09,816.06,AUD,refunded,credit_card,APAC,11.0,530.44,M003,Payments,600000,0,0
TXN00015,U0079,Shopify Inc,2024-01-08,702.04,GBP,chargeback,credit_card,APAC,69.0,891.59,M001,E-commerce,500000,0,1
TXN00016,U0186,Stripe Ltd,2024-01-24,707.83,CAD,failed,upi,APAC,96.0,523.79,M003,Payments,600000,0,1
TXN00017,U0177,Razorpay,2024-02-25,1188.26,EUR,pending,credit_card,US,19.0,1283.32,M005,Payments,350000,0,0
TXN00018,U0162,Klarna AB,2024-02-29,2331.78,USD,captured,wallet,APAC,54.0,2331.78,M008,BNPL,450000,0,0
TXN00019,U0007,Adyen NV,2024-05-09,1796.61,EUR,pending,upi,EU,48.0,1940.34,M007,Payments,550000,0,0
TXN00020,U0153,Adyen NV,2024-06-03,1132.67,USD,captured,wallet,US,64.0,1132.67,M007,Payments,550000,0,0
TXN00022,U0068,Shopify Inc,2024-05-23,550.7,INR,pending,wallet,APAC,35.0,6.61,M001,E-commerce,500000,0,0
TXN00023,U0168,Stripe Ltd,2024-02-20,1136.55,USD,pending,bank_transfer,APAC,71.0,1136.55,M003,Payments,600000,0,1
TXN00025,U0149,Klarna AB,2024-06-28,1926.8,JPY,failed,bank_transfer,APAC,83.0,12.91,M008,BNPL,450000,0,1
TXN00026,U0148,Klarna AB,2024-05-19,4713.81,SGD,refunded,upi,APAC,99.0,3488.22,M008,BNPL,450000,0,1
TXN00027,U0059,Square Inc,2024-04-17,768.21,JPY,pending,upi,US,94.0,5.15,M006,POS,400000,0,1
TXN00028,U0185,Stripe Ltd,2024-02-26,2266.09,JPY,chargeback,bank_transfer,US,11.0,15.18,M003,Payments,600000,0,1
TXN00029,U0014,Square Inc,2024-04-24,2792.51,JPY,captured,credit_card,EU,97.0,18.71,M006,POS,400000,0,1
TXN00030,U0150,Stripe Ltd,2024-05-30,242.69,EUR,captured,debit_card,EU,16.0,262.11,M003,Payments,600000,0,0
TXN00031,U0123,PayU India,2024-03-12,2906.0,GBP,chargeback,wallet,US,73.0,3690.62,M004,Payments,300000,0,1
TXN00032,U0044,PayU India,2024-01-02,660.88,SGD,chargeback,bank_transfer,APAC,46.0,489.05,M004,Payments,300000,0,1
TXN00033,U0135,Shopify Inc,2024-02-10,301.79,EUR,pending,debit_card,EU,39.0,325.93,M001,E-commerce,500000,0,0
TXN00034,U0162,Stripe Ltd,2024-06-27,9021.06,SGD,pending,upi,EU,55.0,6675.58,M003,Payments,600000,1,0
TXN00035,U0185,Stripe Ltd,2024-04-18,10211.89,EUR,captured,upi,APAC,34.0,11028.84,M003,Payments,600000,1,0
TXN00036,U0159,Klarna AB,2024-03-28,5056.99,INR,chargeback,bnpl,APAC,96.0,60.68,M008,BNPL,450000,0,1
TXN00037,U0199,Amazon Payments,2024-03-12,1189.86,GBP,chargeback,bnpl,US,94.0,1511.12,M002,E-commerce,800000,0,1
TXN00038,U0098,Klarna AB,2024-02-09,408.33,AUD,refunded,bank_transfer,APAC,27.0,265.41,M008,BNPL,450000,0,0
TXN00039,U0038,Square Inc,2024-02-25,3558.25,JPY,failed,credit_card,EU,90.0,23.84,M006,POS,400000,0,1
TXN00040,U0175,Stripe Ltd,2024-03-27,1840.27,,pending,bank_transfer,APAC,49.0,1840.27,M003,Payments,600000,0,0
TXN00041,U0063,Klarna AB,2024-01-27,490.46,SGD,chargeback,wallet,EU,14.0,362.94,M008,BNPL,450000,0,1
TXN00042,U0009,Adyen NV,2024-01-24,2150.64,JPY,pending,bnpl,APAC,26.0,14.41,M007,Payments,550000,0,0
TXN00043,U0147,Klarna AB,2024-04-07,204.98,INR,pending,debit_card,US,75.0,2.46,M008,BNPL,450000,0,1
TXN00044,U0180,Stripe Ltd,2024-01-25,7301.27,USD,captured,credit_card,APAC,63.0,7301.27,M003,Payments,600000,1,0
TXN00045,U0029,Razorpay,2024-04-01,998.37,INR,chargeback,bnpl,US,26.0,11.98,M005,Payments,350000,0,1
TXN00046,U0049,Stripe Ltd,2024-03-29,3358.77,EUR,failed,bank_transfer,US,56.0,3627.47,M003,Payments,600000,0,0
TXN00047,U0005,Square Inc,2024-06-03,1220.64,JPY,failed,wallet,US,44.0,8.18,M006,POS,400000,0,0
TXN00048,U0113,PayU India,2024-03-08,2302.33,EUR,failed,wallet,APAC,42.0,2486.52,M004,Payments,300000,0,0
TXN00049,U0081,PayU India,2024-01-12,2473.67,CAD,refunded,credit_card,APAC,71.0,1830.52,M004,Payments,300000,0,1
TXN00050,U0108,Razorpay,2024-04-27,713.17,USD,chargeback,wallet,APAC,47.0,713.17,M005,Payments,350000,0,1
TXN00051,U0039,Razorpay,2024-05-17,10578.42,SGD,refunded,wallet,US,53.0,7828.03,M005,Payments,350000,1,0
TXN00052,U0106,Square Inc,2024-02-01,4576.74,GBP,refunded,wallet,US,69.0,5812.46,M006,POS,400000,0,0
TXN00054,U0053,PayU India,2024-01-21,6856.46,USD,chargeback,bank_transfer,EU,38.0,6856.46,M004,Payments,300000,1,1
TXN00055,U0106,PayU India,2024-05-21,2833.16,GBP,captured,bnpl,EU,96.0,3598.11,M004,Payments,300000,0,1
TXN00056,U0129,Stripe Ltd,2024-03-16,7748.31,USD,refunded,bnpl,EU,81.0,7748.31,M003,Payments,600000,1,1
TXN00057,U0199,PayU India,2024-06-09,377.97,GBP,refunded,credit_card,EU,60.0,480.02,M004,Payments,300000,0,0
TXN00058,U0157,Square Inc,2024-06-07,754.4,CAD,pending,debit_card,US,55.0,558.26,M006,POS,400000,0,0
TXN00059,U0121,Square Inc,2024-04-02,238.85,AUD,captured,debit_card,APAC,57.0,155.25,M006,POS,400000,0,0
TXN00060,U0189,Razorpay,2024-05-27,1280.6,SGD,failed,wallet,EU,96.0,947.64,M005,Payments,350000,0,1
TXN00061,U0187,Amazon Payments,2024-02-19,1576.39,GBP,failed,bnpl,APAC,58.0,2002.02,M002,E-commerce,800000,0,0
TXN00062,U0016,Klarna AB,2024-01-18,1049.68,AUD,failed,bank_transfer,APAC,57.0,682.29,M008,BNPL,450000,0,0
TXN00063,U0181,Square Inc,2024-01-12,5393.67,GBP,pending,wallet,APAC,39.0,6849.96,M006,POS,400000,1,0
TXN00064,U0036,PayU India,2024-06-18,1423.68,SGD,captured,wallet,EU,89.0,1053.52,M004,Payments,300000,0,1
TXN00065,U0133,Stripe Ltd,2024-02-28,1089.41,EUR,failed,bnpl,US,81.0,1176.56,M003,Payments,600000,0,1
TXN00066,U0054,PayU India,2024-03-15,2447.22,USD,chargeback,bank_transfer,APAC,88.0,2447.22,M004,Payments,300000,0,1
TXN00067,U0144,PayU India,2024-01-21,555.69,AUD,refunded,upi,APAC,18.0,361.2,M004,Payments,300000,0,0
TXN00068,U0084,Razorpay,2024-02-29,4961.45,JPY,pending,bnpl,APAC,69.0,33.24,M005,Payments,350000,0,0
TXN00069,U0170,Shopify Inc,2024-01-26,332.43,SGD,pending,credit_card,US,48.0,246.0,M001,E-commerce,500000,0,0
TXN00070,U0123,Adyen NV,2024-04-07,13102.44,EUR,chargeback,debit_card,APAC,24.0,14150.64,M007,Payments,550000,1,1
TXN00071,U0135,Stripe Ltd,2024-03-12,4538.45,SGD,failed,bank_transfer,APAC,14.0,3358.45,M003,Payments,600000,0,0
TXN00072,U0097,Klarna AB,2024-04-26,764.62,EUR,chargeback,debit_card,EU,73.0,825.79,M008,BNPL,450000,0,1
TXN00073,U0081,Amazon Payments,2024-06-11,116.61,CAD,pending,bank_transfer,US,40.0,86.29,M002,E-commerce,800000,0,0
TXN00074,U0045,Shopify Inc,2024-04-03,5169.69,CAD,chargeback,bnpl,APAC,27.0,3825.57,M001,E-commerce,500000,0,1
TXN00075,U0118,Stripe Ltd,2024-02-11,3781.29,AUD,pending,bank_transfer,US,57.0,2457.84,M003,Payments,600000,0,0
TXN00076,U0137,Square Inc,2024-04-04,4016.99,USD,chargeback,upi,US,99.0,4016.99,M006,POS,400000,0,1
TXN00077,U0088,Adyen NV,2024-03-31,4525.64,CAD,captured,wallet,APAC,63.0,3348.97,M007,Payments,550000,0,0
TXN00078,U0140,Adyen NV,2024-02-23,330.79,GBP,failed,credit_card,APAC,29.0,420.1,M007,Payments,550000,0,0
TXN00079,U0091,Klarna AB,2024-06-20,1431.68,AUD,failed,upi,US,93.0,930.59,M008,BNPL,450000,0,1
TXN00080,U0174,Razorpay,2024-03-09,469.45,GBP,refunded,debit_card,APAC,55.0,596.2,M005,Payments,350000,0,0
TXN00081,U0198,PayU India,2024-06-28,6065.59,SGD,pending,credit_card,APAC,45.0,4488.54,M004,Payments,300000,0,0
TXN00082,U0185,Amazon Payments,2024-06-23,3028.9,EUR,chargeback,wallet,US,75.0,3271.21,M002,E-commerce,800000,0,1
TXN00083,U0175,Stripe Ltd,2024-06-14,1305.46,EUR,captured,bnpl,US,66.0,1409.9,M003,Payments,600000,0,0
TXN00084,U0165,PayU India,2024-01-19,297.0,INR,refunded,upi,EU,56.0,3.56,M004,Payments,300000,0,0
TXN00085,U0178,Stripe Ltd,2024-06-04,1217.47,USD,chargeback,bank_transfer,APAC,75.0,1217.47,M003,Payments,600000,0,1
TXN00086,U0068,Razorpay,2024-06-11,1279.94,USD,chargeback,debit_card,APAC,92.0,1279.94,M005,Payments,350000,0,1
TXN00087,U0157,Adyen NV,2024-02-13,4023.63,USD,refunded,upi,EU,60.0,4023.63,M007,Payments,550000,0,0
TXN00088,U0124,Stripe Ltd,2024-05-16,3144.67,INR,failed,upi,APAC,25.0,37.74,M003,Payments,600000,0,0
TXN00089,U0050,Square Inc,2024-03-03,6646.76,USD,refunded,credit_card,EU,68.0,6646.76,M006,POS,400000,1,0
TXN00090,U0064,Square Inc,2024-02-11,2017.2,,chargeback,debit_card,EU,50.0,2017.2,M006,POS,400000,0,1
TXN00091,U0072,Adyen NV,2024-04-28,482.12,AUD,chargeback,debit_card,US,86.0,313.38,M007,Payments,550000,0,1
TXN00092,U0143,Klarna AB,2024-04-07,3847.38,JPY,captured,debit_card,EU,16.0,25.78,M008,BNPL,450000,0,0
TXN00093,U0077,PayU India,2024-03-10,4391.18,GBP,chargeback,credit_card,APAC,41.0,5576.8,M004,Payments,300000,1,1
TXN00094,U0058,Stripe Ltd,2024-06-12,2571.66,GBP,captured,debit_card,EU,82.0,3266.01,M003,Payments,600000,0,1
TXN00095,U0077,Square Inc,2024-06-25,4521.67,USD,failed,credit_card,APAC,80.0,4521.67,M006,POS,400000,0,1
TXN00096,U0198,Klarna AB,2024-05-22,2142.44,JPY,captured,bank_transfer,APAC,37.0,14.35,M008,BNPL,450000,0,0
TXN00097,U0074,Adyen NV,2024-02-26,2319.04,INR,failed,credit_card,EU,39.0,27.83,M007,Payments,550000,0,0
TXN00098,U0181,Klarna AB,2024-06-24,1773.44,AUD,failed,wallet,APAC,28.0,1152.74,M008,BNPL,450000,0,0
TXN00099,U0054,Square Inc,2024-03-24,177.24,INR,captured,bnpl,US,86.0,2.13,M006,POS,400000,0,1
TXN00100,U0177,Razorpay,2024-01-15,442.5,JPY,captured,debit_card,US,50.0,2.96,M005,Payments,350000,0,0
TXN00101,U0181,Amazon Payments,2024-02-28,195.8,AUD,failed,wallet,EU,79.0,127.27,M002,E-commerce,800000,0,1
TXN00102,U0126,Klarna AB,2024-01-09,3135.19,SGD,chargeback,wallet,US,32.0,2320.04,M008,BNPL,450000,0,1
TXN00103,U0082,PayU India,2024-03-21,1232.19,EUR,captured,bank_transfer,EU,13.0,1330.77,M004,Payments,300000,0,0
TXN00104,U0123,Amazon Payments,2024-04-12,2231.31,AUD,pending,upi,EU,55.0,1450.35,M002,E-commerce,800000,0,0
TXN00105,U0090,Amazon Payments,2024-03-09,7243.8,EUR,pending,bank_transfer,EU,40.0,7823.3,M002,E-commerce,800000,1,0
TXN00106,U0144,Klarna AB,2024-01-17,960.22,USD,pending,bnpl,APAC,12.0,960.22,M008,BNPL,450000,0,0
TXN00107,U0185,Square Inc,2024-02-24,1684.85,GBP,chargeback,credit_card,APAC,16.0,2139.76,M006,POS,400000,0,1
TXN00108,U0071,Square Inc,2024-05-25,4326.25,INR,captured,bnpl,EU,63.0,51.91,M006,POS,400000,0,0
TXN00109,U0074,Amazon Payments,2024-03-21,879.42,USD,chargeback,credit_card,US,18.0,879.42,M002,E-commerce,800000,0,1
TXN00110,U0032,Square Inc,2024-02-24,340.31,JPY,pending,debit_card,US,56.0,2.28,M006,POS,400000,0,0
TXN00111,U0147,Adyen NV,2024-06-16,1126.42,EUR,pending,wallet,US,23.0,1216.53,M007,Payments,550000,0,0
TXN00112,U0174,Shopify Inc,2024-05-07,627.43,CAD,captured,bank_transfer,APAC,38.0,464.3,M001,E-commerce,500000,0,0
TXN00113,U0140,Square Inc,2024-04-11,8064.85,SGD,pending,upi,US,15.0,5967.99,M006,POS,400000,0,0
TXN00114,U0098,Shopify Inc,2024-06-13,5052.66,SGD,chargeback,bank_transfer,APAC,94.0,3738.97,M001,E-commerce,500000,0,1
TXN00115,U0102,Shopify Inc,2024-04-27,3110.48,AUD,pending,,US,68.0,2021.81,M001,E-commerce,500000,0,0
TXN00116,U0089,Klarna AB,2024-02-06,6254.56,EUR,chargeback,bank_transfer,EU,13.0,6754.92,M008,BNPL,450000,1,1
TXN00117,U0198,Shopify Inc,2024-03-08,4983.91,CAD,refunded,upi,EU,55.0,3688.09,M001,E-commerce,500000,0,0
TXN00118,U0038,Shopify Inc,2024-02-05,719.49,USD,chargeback,upi,EU,64.0,719.49,M001,E-commerce,500000,0,1
TXN00119,U0075,Razorpay,2024-03-04,6792.44,AUD,refunded,wallet,US,72.0,4415.09,M005,Payments,350000,0,1
TXN00120,U0011,Amazon Payments,2024-05-23,2425.3,INR,captured,wallet,APAC,66.0,29.1,M002,E-commerce,800000,0,0
TXN00121,U0074,Adyen NV,2024-05-17,5042.04,SGD,pending,debit_card,EU,25.0,3731.11,M007,Payments,550000,0,0
TXN00122,U0183,Stripe Ltd,2024-03-08,6892.73,SGD,captured,wallet,APAC,28.0,5100.62,M003,Payments,600000,1,0
TXN00123,U0021,Shopify Inc,2024-05-29,1248.19,INR,pending,bnpl,EU,75.0,14.98,M001,E-commerce,500000,0,1
TXN00124,U0089,Klarna AB,2024-04-19,449.78,CAD,failed,bnpl,EU,84.0,332.84,M008,BNPL,450000,0,1
TXN00125,U0114,Amazon Payments,2024-05-29,876.06,AUD,captured,credit_card,US,51.0,569.44,M002,E-commerce,800000,0,0
TXN00126,U0168,Shopify Inc,2024-04-12,1771.17,CAD,captured,wallet,APAC,86.0,1310.67,M001,E-commerce,500000,0,1
TXN00127,U0066,Stripe Ltd,2024-04-02,5211.49,INR,failed,credit_card,US,68.0,62.54,M003,Payments,600000,0,0
TXN00128,U0192,Square Inc,2024-02-26,6014.03,INR,refunded,bank_transfer,US,65.0,72.17,M006,POS,400000,0,0
TXN00129,U0123,Razorpay,2024-02-05,120.93,GBP,pending,,APAC,25.0,153.58,M005,Payments,350000,0,0
TXN00130,U0055,PayU India,2024-05-10,2244.63,USD,chargeback,debit_card,APAC,93.0,2244.63,M004,Payments,300000,0,1
TXN00131,U0052,Shopify Inc,2024-05-06,1720.82,JPY,captured,upi,APAC,80.0,11.53,M001,E-commerce,500000,0,1
TXN00132,U0138,Adyen NV,2024-01-24,853.5,USD,refunded,debit_card,US,37.0,853.5,M007,Payments,550000,0,0
TXN00133,U0070,Adyen NV,2024-01-13,483.04,INR,failed,debit_card,APAC,39.0,5.8,M007,Payments,550000,0,0
TXN00134,U0144,Klarna AB,2024-01-29,1335.73,AUD,captured,bnpl,US,68.0,868.22,M008,BNPL,450000,0,0
TXN00136,U0070,Square Inc,2024-06-09,1271.15,AUD,captured,bnpl,US,50.0,826.25,M006,POS,400000,0,0
TXN00137,U0036,Klarna AB,2024-02-10,2294.36,USD,failed,debit_card,APAC,57.0,2294.36,M008,BNPL,450000,0,0
TXN00138,U0028,Square Inc,2024-06-23,3742.26,JPY,refunded,wallet,APAC,97.0,25.07,M006,POS,400000,0,1
TXN00139,U0158,Shopify Inc,2024-04-18,1455.92,SGD,pending,bnpl,APAC,18.0,1077.38,M001,E-commerce,500000,0,0
TXN00140,U0190,Shopify Inc,2024-06-01,10803.39,EUR,pending,bank_transfer,APAC,25.0,11667.66,M001,E-commerce,500000,1,0
TXN00142,U0062,Square Inc,2024-04-08,970.18,INR,chargeback,credit_card,US,57.0,11.64,M006,POS,400000,0,1
TXN00143,U0063,Razorpay,2024-04-07,2162.98,JPY,pending,bnpl,US,81.0,14.49,M005,Payments,350000,0,1
TXN00144,U0013,Shopify Inc,2024-06-01,1173.79,CAD,pending,credit_card,US,55.0,868.6,M001,E-commerce,500000,0,0
TXN00145,U0172,Shopify Inc,2024-04-29,1105.75,USD,chargeback,bank_transfer,APAC,95.0,1105.75,M001,E-commerce,500000,0,1
TXN00146,U0136,Square Inc,2024-05-15,212.75,GBP,pending,debit_card,EU,55.0,270.19,M006,POS,400000,0,0
TXN00147,U0058,Klarna AB,2024-03-05,2921.48,SGD,pending,bnpl,APAC,64.0,2161.9,M008,BNPL,450000,0,0
TXN00148,U0164,Stripe Ltd,2024-05-21,2195.56,EUR,chargeback,debit_card,APAC,16.0,2371.2,M003,Payments,600000,0,1
TXN00149,U0060,Square Inc,2024-01-03,258.55,USD,refunded,upi,APAC,86.0,258.55,M006,POS,400000,0,1
TXN00150,U0014,PayU India,2024-06-23,1079.88,INR,pending,credit_card,EU,23.0,12.96,M004,Payments,300000,0,0
TXN00151,U0026,Shopify Inc,2024-01-30,7266.58,JPY,pending,debit_card,EU,37.0,48.69,M001,E-commerce,500000,0,0
TXN00152,U0106,Square Inc,2024-06-23,921.58,AUD,captured,wallet,APAC,71.0,599.03,M006,POS,400000,0,1
TXN00153,U0085,Klarna AB,2024-05-17,569.59,CAD,captured,upi,EU,23.0,421.5,M008,BNPL,450000,0,0
TXN00154,U0184,Klarna AB,2024-03-09,2116.82,EUR,chargeback,wallet,EU,81.0,2286.17,M008,BNPL,450000,0,1
TXN00155,U0121,Razorpay,2024-06-13,12832.11,EUR,captured,bnpl,APAC,45.0,13858.68,M005,Payments,350000,1,0
TXN00156,U0026,Amazon Payments,2024-03-28,931.43,GBP,refunded,bnpl,US,64.0,1182.92,M002,E-commerce,800000,0,0
TXN00157,U0175,Amazon Payments,2024-01-29,3445.47,JPY,refunded,bnpl,US,89.0,23.08,M002,E-commerce,800000,0,1
TXN00158,U0198,Amazon Payments,2024-03-16,4401.66,EUR,failed,wallet,APAC,92.0,4753.79,M002,E-commerce,800000,0,1
TXN00159,U0036,Square Inc,2024-04-21,914.0,USD,failed,bank_transfer,APAC,87.0,914.0,M006,POS,400000,0,1
TXN00160,U0002,Amazon Payments,2024-02-10,4008.25,JPY,captured,bank_transfer,EU,98.0,26.86,M002,E-commerce,800000,0,1
TXN00161,U0141,Stripe Ltd,2024-04-26,1475.57,GBP,failed,wallet,APAC,33.0,1873.97,M003,Payments,600000,0,0
TXN00162,U0041,Stripe Ltd,2024-01-01,3101.51,INR,failed,bank_transfer,EU,49.0,37.22,M003,Payments,600000,0,0
TXN00163,U0105,Adyen NV,2024-03-08,3111.51,SGD,pending,wallet,APAC,54.0,2302.52,M007,Payments,550000,0,0
